datetime, aapl , cash , commission , total ,returns, equity_curve 
4/5/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/9/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/10/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/11/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/12/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/16/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/17/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/18/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/19/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/22/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/23/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/24/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/25/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/26/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/29/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
4/30/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/1/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/2/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/3/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/6/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/7/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/9/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/10/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/13/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/14/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/16/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/17/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/20/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/21/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/22/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/23/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/24/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/28/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/29/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/30/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
5/31/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/3/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/4/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/5/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/6/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/7/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/10/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/11/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/12/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/13/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/14/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/17/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/18/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/19/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/20/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/21/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/24/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/25/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/26/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/27/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
6/28/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/1/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/2/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/3/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/5/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
7/9/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
